;Gebietsname;Wahlberechtigte;Abgegebene;Ungültige;Gültige;ÖVP;SPÖ;FPÖ;GRÜNE;NEOS;BIER;MFG;BGE;LMP;GAZA;KPÖ;KEINE;
G31202;Enzersfeld im Weinviertel;1454;1216;11;1205;413;235;305;60;137;27;3;;6;0;14;5;
G31203;Ernstbrunn;2572;2003;18;1985;793;255;578;116;127;45;6;;16;0;35;14;
G31204;Großmugl;1326;1159;18;1141;440;157;299;73;115;24;6;;4;0;13;10;
G31205;Großrußbach;1803;1504;15;1489;573;190;410;99;140;44;0;;10;1;15;7;
G31206;Hagenbrunn;1749;1481;5;1476;527;251;391;78;164;25;7;;4;3;19;7;
G31207;Harmannsdorf;3283;2752;33;2719;934;417;732;214;291;62;6;;11;2;35;15;
G31208;Hausleiten;3008;2535;30;2505;882;389;737;143;219;69;7;;11;6;30;12;
G31213;Korneuburg;9726;7500;60;7440;2064;1624;1802;628;872;177;7;;39;26;162;39;
G31214;Langenzersdorf;6292;5197;29;5168;1482;928;1110;627;739;100;7;;45;5;97;28;
G31215;Leitzersdorf;947;813;8;805;277;109;272;44;70;13;1;;7;0;8;4;
G31216;Leobendorf;4087;3386;21;3365;1019;640;821;291;402;90;5;;19;1;52;25;
G31224;Rußbach;1127;952;11;941;379;156;242;46;77;28;1;;3;0;4;5;
G31226;Sierndorf;3115;2611;18;2593;921;423;689;164;261;59;2;;12;1;40;21;
G31227;Spillern;1973;1540;23;1517;322;406;476;88;132;35;2;;6;3;30;17;
G31228;Stetteldorf am Wagram;847;731;10;721;300;102;194;37;50;20;3;;2;1;7;5;
G31229;Stetten;1082;900;7;893;239;186;281;51;100;15;2;;6;0;9;4;
G31230;Stockerau;12347;9338;73;9265;2398;2125;2487;847;851;204;30;;48;22;199;54;
G31234;Niederhollabrunn;1228;1027;11;1016;360;139;290;62;102;34;7;;9;2;7;4;
G31235;Gerasdorf bei Wien;8787;6758;42;6716;1674;1494;2078;403;709;151;9;;27;26;117;28;
G31299;Wahlkarten - Korneuburg;0;1584;18;1566;354;322;324;194;237;50;4;;19;3;39;20;
G31300;Krems Land;45525;39250;459;38791;14096;6081;10899;2474;3195;806;187;;288;39;515;211;
G31301;Aggsbach;530;469;11;458;141;124;120;21;22;14;3;;2;0;10;1;
G31302;Albrechtsberg an der Großen Krems;835;669;12;657;237;107;240;21;21;7;7;;4;0;8;5;
G31303;Bergern im Dunkelsteinerwald;1063;929;11;918;331;136;273;52;76;21;7;;6;0;13;3;
G31304;Dürnstein;683;588;7;581;266;86;92;49;58;16;0;;6;0;7;1;
G31308;Grafenegg;2576;2169;15;2154;772;336;561;152;189;51;8;;36;6;28;15;
G31309;Furth bei Göttweig;2360;1965;23;1942;641;377;488;153;177;31;10;;19;0;32;14;
G31310;Gedersdorf;1700;1450;17;1433;487;271;442;58;100;22;4;;6;11;18;14;
G31311;Gföhl;3139;2560;28;2532;918;364;860;107;161;48;15;;10;0;35;14;
G31315;Hadersdorf-Kammern;1599;1313;8;1305;431;244;362;94;115;28;5;;5;0;11;10;
G31319;Jaidhof;986;836;20;816;290;104;286;37;41;21;4;;10;1;20;2;
G31321;Krumau am Kamp;609;500;11;489;201;63;161;18;23;9;0;;5;0;6;3;
G31322;Langenlois;5954;4921;53;4868;1690;718;1335;401;459;97;23;;39;6;64;36;
G31323;Lengenfeld;1114;962;6;956;334;150;314;42;73;15;1;;5;2;13;7;
G31324;Lichtenau im Waldviertel;1707;1407;25;1382;553;136;515;53;62;24;5;;8;0;24;2;
G31326;Maria Laach am Jauerling;747;632;5;627;281;77;152;31;53;14;4;;2;1;9;3;
G31327;Mautern an der Donau;2758;2269;21;2248;825;367;530;176;243;44;10;;16;1;25;11;
G31330;Mühldorf;1045;888;9;879;345;143;248;39;57;26;3;;6;0;11;1;
G31333;Paudorf;2113;1785;25;1760;525;450;458;108;117;41;5;;16;4;29;7;
G31336;Rastenfeld;1281;1119;13;1106;393;97;447;39;75;21;12;;9;0;9;4;
G31337;Rohrendorf bei Krems;1618;1395;21;1374;478;234;334;105;142;32;5;;12;5;18;9;
G31338;Rossatz-Arnsdorf;845;728;11;717;294;124;139;48;85;11;2;;3;0;10;1;
G31340;St. Leonhard am Hornerwald;933;817;14;803;318;74;297;30;40;19;5;;7;0;11;2;
G31343;Senftenberg;1506;1216;14;1202;421;225;345;69;90;17;7;;9;0;12;7;
G31344;Spitz;1253;1064;14;1050;478;151;215;61;102;20;1;;5;1;11;5;
G31346;Straß im Straßertale;1357;1123;13;1110;417;159;286;83;90;32;8;;9;0;18;8;
G31347;Stratzing;721;617;2;615;264;87;128;50;66;10;4;;0;0;5;1;
G31350;Weinzierl am Walde;1022;884;12;872;381;93;287;28;43;18;7;;6;0;5;4;
G31351;Weißenkirchen in der Wachau;1139;1006;6;1000;445;132;202;74;101;30;3;;3;0;9;1;
G31355;Schönberg am Kamp;1520;1281;9;1272;470;162;354;114;113;23;3;;7;1;18;7;
G31356;Droß;812;701;11;690;209;98;211;57;79;6;6;;10;0;10;4;
G31399;Wahlkarten - Krems Land;0;987;12;975;260;192;217;104;122;38;10;;7;0;16;9;
G31400;Lilienfeld;19443;16246;252;15994;4724;3789;4841;800;976;291;70;;126;6;278;93;
G31401;Annaberg;399;339;5;334;157;47;72;11;28;13;0;;1;0;4;1;
G31402;Eschenau;1022;831;11;820;280;132;269;35;65;7;7;;1;0;20;4;
G31403;Hainfeld;2915;2343;32;2311;626;572;723;118;142;56;5;;23;1;37;8;
G31404;Hohenberg;1112;907;9;898;201;289;272;44;45;15;2;;6;0;21;3;
G31405;Kaumberg;837;702;14;688;245;59;266;21;54;14;6;;5;1;9;8;
G31406;Kleinzell;690;568;10;558;229;47;209;20;30;7;1;;4;0;7;4;
G31407;Lilienfeld;1907;1535;23;1512;495;332;377;123;97;29;4;;12;0;34;9;
G31408;Mitterbach am Erlaufsee;397;324;5;319;156;37;81;15;17;6;1;;2;0;1;3;
G31409;Ramsau;611;502;8;494;150;91;158;32;32;17;4;;0;0;9;1;
G31410;Rohrbach an der Gölsen;1200;1041;13;1028;311;192;334;54;72;17;8;;9;0;22;9;
G31411;St. Aegyd am Neuwalde;1460;1245;32;1213;337;363;355;44;56;20;5;;12;0;16;5;
G31412;St. Veit an der Gölsen;3008;2578;42;2536;651;684;773;110;164;44;15;;27;3;47;18;
G31413;Traisen;2365;1791;20;1771;341;643;545;70;84;23;2;;16;0;36;11;
G31414;Türnitz;1520;1198;18;1180;464;222;321;67;70;15;8;;1;1;7;4;
G31499;Wahlkarten - Lilienfeld;0;342;10;332;81;79;86;36;20;8;2;;7;0;8;5;
G31500;Melk;61613;51624;650;50974;16265;9639;16116;2856;3336;1025;248;;325;64;755;345;
G31502;Artstetten-Pöbring;976;817;17;800;351;93;207;57;59;16;2;;4;0;8;3;
G31503;Bergland;1496;1247;10;1237;486;173;390;51;84;14;5;;8;0;19;7;
G31504;Bischofstetten;938;756;2;754;294;132;215;33;43;18;5;;5;0;5;4;
G31505;Blindenmarkt;2019;1680;20;1660;501;234;682;73;86;23;8;;8;3;33;9;
G31506;Dorfstetten;451;421;5;416;150;76;159;11;9;3;1;;2;0;3;2;
G31507;Dunkelsteinerwald;1982;1631;20;1611;526;218;606;74;91;39;8;;11;1;26;11;
G31508;Erlauf;910;738;9;729;236;112;276;20;42;9;7;;8;1;12;6;
G31509;Golling an der Erlauf;1116;823;10;813;84;313;327;23;34;12;5;;1;0;11;3;
G31511;Hofamt Priel;1385;1214;15;1199;352;287;343;68;79;23;6;;8;1;23;9;
G31513;Hürm;1576;1318;14;1304;562;158;345;71;96;34;3;;14;1;9;11;
G31514;Kilb;2104;1758;24;1734;662;228;508;110;127;33;9;;20;2;23;12;
G31515;Kirnberg an der Mank;886;789;10;779;330;71;245;39;43;15;5;;11;0;16;4;
G31516;Klein-Pöchlarn;816;653;9;644;165;169;182;44;46;17;2;;4;0;8;7;
G31517;Krummnußbaum;1290;1045;10;1035;264;246;324;71;64;23;8;;9;1;17;8;
G31519;Leiben;1064;908;9;899;233;239;268;57;62;14;2;;5;1;13;5;
G31520;Loosdorf;3035;2311;25;2286;524;628;732;108;159;54;9;;14;0;43;15;
G31521;Mank;2611;2116;17;2099;786;280;621;161;128;54;9;;11;3;31;15;
G31522;Marbach an der Donau;1299;1082;10;1072;289;261;341;59;62;23;6;;5;4;14;8;
G31523;Maria Taferl;734;594;8;586;187;114;182;25;48;14;2;;3;0;6;5;
G31524;Melk;4172;3312;31;3281;1072;539;850;334;309;60;13;;21;9;50;24;
G31525;Münichreith-Laimbach;1333;1085;21;1064;335;213;392;29;49;18;2;;8;2;9;7;
G31527;Neumarkt an der Ybbs;1592;1309;12;1297;310;312;499;43;66;22;4;;10;1;23;7;
G31528;Nöchling;820;703;7;696;232;163;205;37;25;10;6;;4;0;7;7;
G31530;Persenbeug-Gottsdorf;1761;1455;18;1437;272;432;441;67;130;41;6;;9;0;28;11;
G31531;Petzenkirchen;1128;897;16;881;195;213;317;37;57;26;8;;5;0;14;9;
G31533;Pöchlarn;2921;2111;34;2077;578;453;675;129;135;38;7;;10;9;30;13;
G31534;Pöggstall;1955;1559;26;1533;589;202;535;64;82;20;7;;7;0;16;11;
G31535;Raxendorf;831;738;10;728;334;88;235;24;28;4;2;;2;0;7;4;
G31537;Ruprechtshofen;1857;1540;30;1510;548;162;549;85;85;27;6;;11;0;23;14;
G31539;St. Leonhard am Forst;2462;2045;34;2011;661;261;738;118;127;41;9;;16;3;26;11;
G31540;St. Martin-Karlsbach;1323;1151;18;1133;407;214;321;64;72;28;3;;5;2;15;2;
G31541;St. Oswald;909;805;14;791;341;129;219;32;35;20;3;;1;0;9;2;
G31542;Schönbühel-Aggsbach;782;657;7;650;205;109;183;53;56;27;1;;7;1;5;3;
G31543;Schollach;835;699;7;692;259;119;210;24;44;19;1;;3;0;8;5;
G31546;Weiten;892;743;13;730;301;89;254;13;40;7;5;;4;1;13;3;
G31549;Ybbs an der Donau;4061;2965;36;2929;698;861;913;158;163;37;14;;12;11;45;17;
G31550;Zelking-Matzleinsdorf;976;829;8;821;328;136;199;35;77;14;7;;2;0;13;10;
G31551;Texingtal;1297;1101;12;1089;514;108;277;66;57;28;11;;7;1;14;6;
G31552;Yspertal;1631;1299;23;1276;366;238;480;61;79;21;5;;6;0;11;9;
G31553;Emmersdorf an der Donau;1387;1117;18;1099;327;199;307;84;102;22;13;;13;1;23;8;
G31599;Wahlkarten - Melk;0;1603;11;1592;411;367;364;144;156;57;13;;11;5;46;18;
G31600;Mistelbach;60820;50635;599;50036;17718;8456;14536;3068;3739;1113;157;;243;35;678;293;
G31601;Altlichtenwarth;608;479;10;469;185;68;166;11;15;9;3;;6;0;4;2;
G31603;Asparn an der Zaya;1540;1259;13;1246;461;204;420;42;66;18;3;;7;3;17;5;
G31604;Bernhardsthal;1252;1016;8;1008;326;212;346;30;61;10;1;;5;0;8;9;
G31605;Bockfließ;998;844;11;833;330;162;191;49;64;18;3;;5;1;8;2;
G31606;Drasenhofen;870;713;5;708;312;65;251;14;45;13;1;;2;0;3;2;
G31608;Falkenstein;441;358;3;355;161;38;72;42;24;9;0;;2;0;6;1;
G31609;Fallbach;668;580;7;573;308;45;122;23;48;3;7;;3;0;7;7;
G31611;Gaubitsch;744;663;9;654;336;56;166;25;50;11;0;;0;0;6;4;
G31612;Gaweinstal;3160;2491;23;2468;803;429;797;118;188;58;10;;6;3;44;12;
G31613;Gnadendorf;990;824;14;810;361;125;194;44;56;17;1;;2;1;6;3;
G31614;Großebersdorf;1800;1476;13;1463;541;195;475;70;114;31;3;;7;2;16;9;
G31615;Großengersdorf;1173;1001;8;993;329;232;268;46;72;23;2;;2;0;12;7;
G31616;Großharras;901;735;11;724;300;98;228;31;41;16;3;;0;0;4;3;
G31617;Großkrut;1375;1118;14;1104;396;185;387;37;52;22;5;;3;1;11;5;
G31620;Hausbrunn;660;546;7;539;132;143;209;9;21;10;2;;3;0;6;4;
G31621;Herrnbaumgarten;741;618;11;607;282;57;184;26;36;5;3;;2;0;8;4;
G31622;Hochleithen;924;762;7;755;286;138;192;37;63;14;2;;7;0;11;5;
G31627;Kreuttal;1198;1016;10;1006;337;222;217;74;104;26;1;;10;1;9;5;
G31628;Kreuzstetten;1344;1119;9;1110;290;245;301;108;78;25;9;;14;0;30;10;
G31629;Laa an der Thaya;5041;3993;57;3936;1246;687;1350;209;263;74;11;;6;3;72;15;
G31630;Ladendorf;1877;1468;16;1452;478;261;424;100;112;46;3;;6;0;16;6;
G31633;Mistelbach;9362;7327;81;7246;2266;1345;2082;527;626;193;29;;33;7;91;47;
G31634;Neudorf im Weinviertel;1099;870;12;858;278;129;309;35;53;30;3;;3;0;14;4;
G31636;Niederleis;751;638;6;632;201;108;211;27;60;12;0;;1;0;10;2;
G31642;Pillichsdorf;966;858;6;852;276;168;177;103;80;15;1;;8;2;20;2;
G31644;Poysdorf;4310;3446;55;3391;1418;489;1010;141;195;66;16;;6;1;34;15;
G31645;Rabensburg;837;651;9;642;90;222;275;17;24;2;0;;2;0;6;4;
G31646;Schrattenberg;660;493;12;481;242;43;149;14;19;4;2;;2;0;5;1;
G31649;Staatz;1641;1401;23;1378;553;214;414;56;75;28;1;;3;0;29;5;
G31650;Stronsdorf;1273;1090;9;1081;471;97;384;36;54;13;2;;5;1;13;5;
G31651;Ulrichskirchen-Schleinbach;2100;1720;26;1694;521;352;429;142;172;38;1;;11;0;15;13;
G31652;Unterstinkenbrunn;464;396;3;393;191;39;108;6;33;11;0;;0;0;4;1;
G31653;Wildendürnbach;1212;985;16;969;502;73;267;34;59;20;0;;0;0;8;6;
G31654;Wilfersdorf;1683;1377;18;1359;445;234;467;50;91;29;5;;14;0;15;9;
G31655;Wolkersdorf im Weinviertel;5711;4694;35;4659;1504;819;925;627;472;131;13;;46;9;75;38;
G31658;Ottenthal;446;389;4;385;224;34;83;5;16;10;2;;3;0;4;4;
G31699;Wahlkarten - Mistelbach;0;1221;18;1203;336;223;286;103;137;53;9;;8;0;31;17;
G31700;Mödling;89546;73937;477;73460;20336;15767;15411;7753;10546;1315;184;;491;186;1135;336;
G31701;Achau;1243;977;13;964;206;245;275;74;124;17;0;;6;4;6;7;
G31702;Biedermannsdorf;2377;1977;16;1961;605;391;445;183;259;25;6;;21;0;21;5;
G31703;Breitenfurt bei Wien;4647;3777;34;3743;1123;723;747;415;570;54;11;;33;2;47;18;
G31704;Brunn am Gebirge;8786;7025;38;6987;1806;1703;1435;715;977;119;14;;44;17;117;40;
G31706;Gaaden;1281;1109;9;1100;335;187;188;126;200;26;8;;5;0;22;3;
G31707;Gießhübl;1815;1533;5;1528;487;239;259;168;310;24;2;;15;4;18;2;
G31709;Gumpoldskirchen;2996;2484;20;2464;678;562;506;250;354;42;4;;18;6;32;12;
G31710;Guntramsdorf;6836;5357;43;5314;1297;1574;1274;368;547;93;9;;24;15;87;26;
G31711;Hennersdorf;1245;1051;11;1040;303;222;293;94;86;16;1;;3;3;15;4;
G31712;Hinterbrühl;2856;2347;14;2333;758;348;479;257;390;43;2;;20;3;29;4;
G31713;Kaltenleutgeben;2486;1885;14;1871;470;459;473;143;232;30;4;;13;8;33;6;
G31714;Laab im Walde;884;724;2;722;219;150;102;90;126;11;2;;2;0;16;4;
G31715;Laxenburg;2213;1745;10;1735;656;341;351;139;191;19;6;;8;2;12;10;
G31716;Maria Enzersdorf;6459;5275;21;5254;1696;905;826;758;840;75;9;;45;5;71;24;
G31717;Mödling;14700;11289;69;11220;2865;2531;2054;1436;1667;234;34;;92;40;209;58;
G31718;Münchendorf;2420;1944;10;1934;488;475;540;148;188;47;6;;2;7;15;18;
G31719;Perchtoldsdorf;11404;9551;47;9504;2996;1455;1617;1284;1736;146;34;;65;18;124;29;
G31723;Vösendorf;5586;4134;29;4105;947;1010;1271;181;460;97;12;;23;10;72;22;
G31725;Wiener Neudorf;7029;5527;36;5491;1321;1394;1413;462;585;106;12;;26;29;113;30;
G31726;Wienerwald;2283;1943;21;1922;586;345;545;121;243;32;4;;10;4;28;4;
G31799;Wahlkarten - Mödling;0;2283;15;2268;494;508;318;341;461;59;4;;16;9;48;10;
G31800;Neunkirchen;67462;54408;682;53726;14790;11779;18078;2500;3467;1111;231;;377;268;824;301;
G31801;Altendorf;284;243;5;238;106;21;74;8;20;1;2;;2;0;1;3;
G31802;Aspang-Markt;1504;1241;10;1231;424;208;416;51;81;17;6;;6;6;12;4;
G31803;Aspangberg-St. Peter;1519;1250;21;1229;488;130;435;39;73;21;5;;13;2;15;8;
G31804;Breitenau;1225;1036;14;1022;237;249;365;34;87;22;3;;3;4;15;3;
G31805;Breitenstein;228;177;1;176;54;30;62;12;10;3;1;;0;0;2;2;
G31806;Buchbach;291;249;2;247;57;66;73;14;30;1;3;;0;0;3;0;
G31807;Edlitz;714;592;6;586;235;85;178;21;39;15;1;;2;0;10;0;
G31808;Enzenreith;1554;1269;8;1261;367;265;406;65;97;23;0;;9;1;21;7;
G31809;Feistritz am Wechsel;859;712;11;701;284;98;223;29;36;9;3;;10;0;3;6;
G31810;Gloggnitz;4444;3296;45;3251;792;731;1171;144;207;80;11;;33;10;50;22;
G31811;Grafenbach-St. Valentin;1850;1515;24;1491;341;375;533;58;89;31;11;;15;1;22;15;
G31812;Grimmenstein;1099;887;15;872;313;172;265;32;47;13;6;;4;2;13;5;
G31813;Grünbach am Schneeberg;1194;959;9;950;212;322;293;42;36;15;6;;5;4;13;2;
G31814;Kirchberg am Wechsel;2048;1696;14;1682;610;174;619;89;116;29;5;;12;2;22;4;
G31815;Mönichkirchen;501;410;6;404;179;39;128;21;19;7;2;;1;0;5;3;
G31817;Natschbach-Loipersbach;1406;1162;17;1145;365;163;392;56;101;26;4;;7;5;18;8;
G31818;Neunkirchen;8828;6068;64;6004;1299;1579;1956;336;354;134;21;;40;139;115;31;
G31820;Otterthal;450;378;2;376;110;75;146;3;29;10;0;;1;0;1;1;
G31821;Payerbach;1611;1308;20;1288;351;281;409;74;87;29;6;;19;0;23;9;
G31823;Pitten;2329;1885;32;1853;448;393;613;115;147;59;12;;15;2;30;19;
G31825;Prigglitz;364;315;6;309;106;40;110;26;15;4;1;;2;0;3;2;
G31826;Puchberg am Schneeberg;2183;1713;25;1688;418;362;671;57;98;22;7;;20;4;24;5;
G31827;Raach am Hochgebirge;258;226;2;224;111;27;57;5;10;8;1;;1;0;4;0;
G31829;Reichenau an der Rax;2052;1672;22;1650;486;344;545;89;111;23;7;;16;1;19;9;
G31830;St. Corona am Wechsel;325;273;1;272;134;10;98;10;11;4;1;;2;0;1;1;
G31831;St. Egyden am Steinfeld;1720;1433;18;1415;383;273;513;52;115;34;8;;9;0;20;8;
G31832;Scheiblingkirchen-Thernberg;1602;1313;14;1299;504;188;375;67;95;40;6;;7;0;14;3;
G31833;Schottwien;492;397;8;389;125;56;138;10;24;14;0;;2;2;15;3;
G31834;Schrattenbach;316;266;1;265;67;52;104;15;12;3;3;;2;0;5;2;
G31835;Schwarzau am Steinfeld;1616;1286;8;1278;341;258;473;51;87;26;6;;5;0;20;11;
G31836;Schwarzau im Gebirge;463;398;13;385;88;81;172;13;16;5;3;;2;0;4;1;
G31837;Seebenstein;1227;1036;6;1030;232;263;359;51;76;22;8;;4;0;12;3;
G31838;Semmering;372;296;2;294;105;46;76;13;32;8;1;;3;0;8;2;
G31839;Ternitz;11295;8524;105;8419;1481;2650;2888;368;511;175;30;;50;65;152;49;
G31840;Thomasberg;1005;848;15;833;329;104;309;26;24;16;6;;5;2;9;3;
G31841;Trattenbach;428;371;4;367;162;28;147;9;6;8;2;;0;0;2;3;
G31842;Bürg-Vöstenhof;137;116;3;113;29;19;48;3;7;1;4;;1;0;1;0;
G31843;Warth;1265;1096;12;1084;445;139;325;47;63;28;5;;12;0;10;10;
G31844;Wartmannstetten;1314;1177;13;1164;497;202;297;31;91;23;2;;1;1;13;6;
G31845;Willendorf;785;638;8;630;174;125;196;57;48;13;1;;5;2;7;2;
G31846;Wimpassing im Schwarzatale;1088;754;15;739;116;277;247;37;21;13;2;;2;10;13;1;
G31847;Würflach;1336;1106;12;1094;335;237;324;49;78;20;3;;10;0;25;13;
G31848;Zöbern;1136;1007;20;987;418;106;347;34;49;13;4;;4;0;9;3;
G31849;Höflein an der Hohen Wand;745;615;2;613;142;168;204;34;41;11;1;;0;0;11;1;
G31899;Wahlkarten - Neunkirchen;0;1199;21;1178;290;268;298;103;121;32;11;;15;3;29;8;
G31900;Sankt Pölten Land;102401;85088;915;84173;24392;16575;23613;7053;7596;1821;363;;727;173;1399;461;
G31901;Altlengbach;2440;1937;26;1911;584;324;594;116;194;36;9;;14;0;27;13;
G31902;Asperhofen;1763;1392;15;1377;426;150;548;71;106;31;5;;12;0;18;10;
G31903;Böheimkirchen;4088;3259;44;3215;889;703;986;240;208;71;18;;16;1;65;18;
G31904;Brand-Laaben;1025;823;11;812;255;108;308;44;59;12;6;;4;0;13;3;
G31905;Eichgraben;3482;2870;18;2852;741;588;620;401;335;62;6;;35;5;47;12;
G31906;Frankenfels;1527;1321;27;1294;553;223;359;52;58;18;8;;5;0;11;7;
G31907;Gerersdorf;814;708;10;698;283;133;163;38;51;13;2;;2;1;6;6;
G31909;Hofstetten-Grünau;2151;1858;24;1834;690;278;554;100;124;42;11;;11;0;18;6;
G31910;Hafnerbach;1330;1134;22;1112;401;191;292;99;86;17;2;;7;1;12;4;
G31911;Haunoldstein;944;760;10;750;226;144;259;46;41;12;4;;1;2;11;4;
G31912;Herzogenburg;6017;4681;50;4631;1158;1181;1411;246;293;105;27;;38;57;85;30;
G31913;Inzersdorf-Getzersdorf;1314;1082;10;1072;337;178;362;58;90;22;6;;4;0;13;2;
G31915;Kapelln;1057;868;19;849;336;107;277;34;55;16;3;;6;0;9;6;
G31916;Karlstetten;1753;1460;19;1441;450;244;464;88;117;30;4;;8;0;30;6;
G31917;Kasten bei Böheimkirchen;1145;970;12;958;285;162;276;66;94;29;8;;15;0;13;10;
G31918;Kirchberg an der Pielach;2568;2039;25;2014;674;357;593;116;136;69;12;;13;1;36;7;
G31919;Kirchstetten;1832;1398;13;1385;447;238;410;97;104;32;13;;14;0;20;10;
G31920;Loich;454;385;2;383;134;84;112;14;13;12;1;;2;0;8;3;
G31921;Maria-Anzbach;2483;2039;16;2023;573;353;469;304;188;45;8;;35;1;40;7;
G31922;Markersdorf-Haindorf;1631;1339;14;1325;445;231;421;88;87;23;3;;1;3;20;3;
G31923;Michelbach;680;587;11;576;231;47;193;26;36;18;7;;1;0;11;6;
G31925;Neidling;1235;1070;10;1060;342;181;284;91;100;17;3;;11;4;19;8;
G31926;Neulengbach;6453;5031;46;4985;1416;895;1335;553;459;103;33;;61;4;99;27;
G31927;Neustift-Innermanzing;1226;983;13;970;295;165;309;51;93;19;7;;5;3;22;1;
G31928;Nußdorf ob der Traisen;1547;1282;22;1260;413;232;392;67;101;23;1;;8;3;15;5;
G31929;Ober-Grafendorf;3805;3099;42;3057;805;793;870;204;231;63;9;;26;0;40;16;
G31930;Obritzberg-Rust;1884;1595;25;1570;581;206;491;92;113;35;3;;12;1;27;9;
G31932;Prinzersdorf;1236;994;12;982;281;194;242;94;114;27;5;;10;1;10;4;
G31934;Pyhra;2822;2404;27;2377;837;340;730;167;192;41;11;;10;2;28;19;
G31935;Rabenstein an der Pielach;1958;1623;24;1599;541;301;502;76;91;41;1;;9;5;23;9;
G31938;St. Margarethen an der Sierning;849;766;7;759;302;94;217;47;57;19;4;;6;0;9;4;
G31939;Schwarzenbach an der Pielach;287;253;7;246;110;43;76;2;4;7;2;;0;0;1;1;
G31940;Statzendorf;1133;947;7;940;269;229;287;46;68;21;4;;1;0;13;2;
G31941;Stössing;654;549;6;543;166;75;191;32;36;16;8;;8;0;8;3;
G31943;Traismauer;4812;3772;45;3727;922;874;1214;225;276;72;13;;30;21;53;27;
G31945;Weinburg;1125;958;12;946;215;293;272;40;65;26;1;;13;0;16;5;
G31946;Perschling;1200;992;13;979;340;87;400;38;62;19;5;;10;1;13;4;
G31947;Wilhelmsburg;4941;3900;39;3861;882;1037;1213;244;278;72;12;;23;6;75;19;
G31948;Wölbling;1890;1531;21;1510;391;346;498;92;102;28;4;;22;1;24;2;
G31949;Gablitz;3834;3023;12;3011;854;546;679;375;405;53;11;;32;6;41;9;
G31950;Mauerbach;2767;2348;14;2334;698;411;500;276;303;45;4;;17;4;55;21;
G31951;Pressbaum;5713;4372;39;4333;1055;909;1005;542;549;121;16;;42;15;52;27;
G31952;Purkersdorf;7002;5332;34;5298;1135;1247;1142;709;710;101;12;;62;17;133;30;
G31953;Tullnerbach;2180;1791;8;1783;497;351;361;207;262;34;10;;23;3;28;7;
G31954;Wolfsgraben;1350;1124;4;1120;343;178;288;115;122;29;6;;9;1;22;7;
G31999;Wahlkarten - Sankt Pölten Land;0;2439;28;2411;584;524;444;324;328;74;15;;33;3;60;22;
G32000;Scheibbs;33008;28189;358;27831;9745;4727;8169;1634;1960;549;183;;181;20;436;227;
G32001;Gaming;2310;1914;26;1888;496;544;558;64;115;34;7;;12;6;30;22;
G32002;Göstling an der Ybbs;1661;1366;17;1349;602;237;303;53;102;23;6;;5;0;9;9;
G32003;Gresten;1574;1295;17;1278;364;283;375;65;90;35;7;;17;3;29;10;
G32004;Gresten-Land;1182;1039;16;1023;465;86;324;25;46;25;14;;12;0;16;10;
G32005;Lunz am See;1451;1234;15;1219;378;289;339;77;84;22;10;;5;0;10;5;
G32006;Oberndorf an der Melk;2438;2085;37;2048;875;203;663;85;116;36;15;;16;0;25;14;
G32007;Puchenstuben;218;158;5;153;60;35;41;4;4;3;1;;2;0;3;0;
G32008;Purgstall an der Erlauf;4274;3430;32;3398;1161;471;1105;218;257;69;20;;25;0;49;23;
G32009;Randegg;1500;1287;15;1272;570;121;388;60;64;20;7;;9;0;14;19;
G32010;Reinsberg;828;729;5;724;335;78;209;27;46;12;6;;0;0;6;5;
G32011;St. Anton an der Jeßnitz;918;766;18;748;304;76;267;21;35;15;13;;5;0;7;5;
G32012;St. Georgen an der Leys;1063;942;12;930;420;92;314;23;49;12;3;;4;0;10;3;
G32013;Scheibbs;3405;2768;32;2736;910;572;524;307;255;55;16;;11;9;55;22;
G32014;Steinakirchen am Forst;1823;1563;24;1539;615;189;439;105;105;26;15;;10;0;23;12;
G32015;Wang;1096;924;14;910;356;88;324;45;42;22;6;;8;0;12;7;
G32016;Wieselburg;3165;2464;20;2444;523;682;689;193;195;53;16;;11;1;58;23;
G32017;Wieselburg-Land;2742;2321;28;2293;708;373;788;126;186;34;10;;11;1;36;20;
G32018;Wolfpassing;1360;1174;14;1160;417;149;364;64;90;31;6;;12;0;20;7;
G32099;Wahlkarten - Scheibbs;0;730;11;719;186;159;155;72;79;22;5;;6;0;24;11;
G32100;Tulln;80921;66882;607;66275;20652;11925;16275;6140;7448;1451;192;;532;101;1173;386;
G32101;Absdorf;1799;1363;26;1337;398;259;373;108;114;47;4;;1;1;24;8;
G32104;Atzenbrugg;2561;2054;37;2017;701;289;612;135;158;53;3;;16;1;30;19;
G32106;Fels am Wagram;1924;1589;17;1572;504;246;492;95;135;43;6;;16;0;26;9;
G32107;Grafenwörth;2644;2053;18;2035;646;371;621;99;190;54;7;;10;0;21;16;
G32109;Großriedenthal;800;685;19;666;301;105;136;33;56;10;6;;1;2;11;5;
G32110;Großweikersdorf;2721;2214;25;2189;732;387;654;148;157;67;6;;5;1;15;17;
G32112;Judenau-Baumgarten;1759;1446;16;1430;494;220;406;124;120;18;3;;10;0;21;14;
G32114;Kirchberg am Wagram;2992;2492;29;2463;849;424;675;146;233;68;7;;24;3;25;9;
G32115;Königsbrunn am Wagram;1119;934;11;923;292;203;263;50;69;17;3;;2;1;15;8;
