;Gebietsname;Wahlberechtigte;Abgegebene;Ungültige;Gültige;ÖVP;SPÖ;FPÖ;GRÜNE;NEOS;BIER;MFG;BGE;LMP;GAZA;KPÖ;KEINE;
G10426;Bildein;263;231;6;225;112;31;61;9;7;1;;0;1;0;3;0;
G10427;Rauchwart;399;341;4;337;64;117;125;6;11;5;;0;0;0;9;0;
G10428;Moschendorf;310;267;4;263;114;63;60;8;12;2;;0;0;0;4;0;
G10499;Wahlkarten - Güssing;0;330;8;322;86;98;70;19;23;15;;1;1;0;7;2;
G10500;Jennersdorf;14100;11284;133;11151;3193;2447;3879;490;625;223;;5;54;7;157;71;
G10501;Deutsch Kaltenbrunn;1421;1145;13;1132;262;289;400;49;71;30;;1;4;0;17;9;
G10502;Eltendorf;754;607;6;601;169;133;223;24;31;14;;0;1;0;6;0;
G10503;Heiligenkreuz im Lafnitztal;972;748;6;742;200;171;274;24;40;15;;0;4;0;9;5;
G10504;Jennersdorf;3428;2585;30;2555;722;411;1061;110;134;46;;1;15;3;35;17;
G10505;Minihof-Liebau;855;688;11;677;197;165;221;24;44;12;;0;3;0;8;3;
G10506;Mogersdorf;882;713;8;705;175;155;267;30;42;14;;0;2;1;14;5;
G10507;Neuhaus am Klausenbach;724;542;9;533;176;119;164;23;27;8;;2;5;1;7;1;
G10508;Rudersdorf;1841;1416;12;1404;454;292;417;75;90;33;;0;5;2;27;9;
G10509;Sankt Martin an der Raab;1658;1364;17;1347;445;287;423;73;62;25;;0;7;0;16;9;
G10510;Weichselbaum;586;479;4;475;162;128;137;9;23;8;;0;1;0;3;4;
G10511;Königsdorf;653;505;7;498;129;150;161;18;23;6;;0;5;0;5;1;
G10512;Mühlgraben;326;275;7;268;44;106;81;7;15;4;;0;1;0;6;4;
G10599;Wahlkarten - Jennersdorf;0;217;3;214;58;41;50;24;23;8;;1;1;0;4;4;
G10600;Mattersburg;31813;26415;354;26061;6661;7601;7467;1207;1872;531;;8;119;100;345;150;
G10601;Draßburg;911;735;16;719;117;318;200;21;41;8;;0;0;2;7;5;
G10602;Forchtenstein;2247;1851;19;1832;560;453;564;68;124;31;;1;6;2;16;7;
G10603;Hirm;777;668;11;657;96;291;172;28;39;17;;0;0;1;8;5;
G10604;Loipersbach im Burgenland;964;777;15;762;114;248;284;29;52;14;;1;4;0;8;8;
G10605;Marz;1649;1414;23;1391;408;375;384;66;112;24;;0;4;0;13;5;
G10606;Mattersburg;5750;4504;44;4460;1114;1258;1295;227;333;93;;0;20;31;61;28;
G10607;Neudörfl;3700;2769;33;2736;551;807;897;109;183;67;;2;13;52;43;12;
G10608;Pöttelsdorf;634;541;7;534;176;115;139;36;40;12;;1;4;0;9;2;
G10609;Pöttsching;2470;2050;20;2030;478;591;558;118;163;51;;0;12;2;43;14;
G10610;Rohrbach bei Mattersburg;2037;1700;38;1662;457;538;441;58;108;31;;0;4;1;12;12;
G10611;Bad Sauerbrunn;1772;1457;14;1443;341;314;450;113;150;20;;1;18;2;27;7;
G10612;Schattendorf;1867;1563;29;1534;315;623;373;68;113;20;;0;1;2;12;7;
G10613;Sieggraben;984;842;12;830;291;206;269;13;28;11;;0;2;0;6;4;
G10614;Sigleß;979;837;9;828;177;312;182;46;55;29;;0;5;1;13;8;
G10615;Wiesen;2217;1789;18;1771;568;300;598;74;144;40;;0;10;2;25;10;
G10616;Antau;635;530;7;523;173;152;133;21;19;12;;0;5;0;5;3;
G10617;Baumgarten;712;606;8;598;128;243;127;35;37;13;;1;1;1;10;2;
G10618;Zemendorf-Stöttera;1021;856;14;842;335;222;182;24;47;14;;0;3;1;11;3;
G10619;Krensdorf;487;438;9;429;156;105;107;11;22;13;;0;4;0;6;5;
G10699;Wahlkarten - Mattersburg;0;488;8;480;106;130;112;42;62;11;;1;3;0;10;3;
G10700;Neusiedl am See;45497;37212;510;36702;10216;9330;11137;1783;2556;805;;17;154;75;466;163;
G10701;Andau;1863;1518;16;1502;372;472;523;32;63;27;;0;4;0;6;3;
G10702;Apetlon;1500;1246;28;1218;416;355;328;27;54;19;;0;3;1;11;4;
G10703;Bruckneudorf;2355;1788;22;1766;287;460;680;102;114;55;;1;11;3;40;13;
G10704;Deutsch Jahrndorf;450;376;7;369;104;118;105;8;27;3;;0;0;0;2;2;
G10705;Frauenkirchen;2362;1777;30;1747;413;490;592;68;108;39;;0;4;0;27;6;
G10706;Gattendorf;1001;822;15;807;218;239;254;22;38;22;;0;2;1;9;2;
G10707;Gols;3178;2589;30;2559;577;697;779;166;211;66;;3;12;0;29;19;
G10708;Halbturn;1551;1279;19;1260;474;258;343;46;77;30;;0;2;0;22;8;
G10709;Illmitz;1980;1712;26;1686;573;599;345;51;86;16;;0;5;0;9;2;
